1,John van 't Schip,1992-1993,28,NED,Genoa,Serie A,29,1642,18.2,17,12,4,2,,,2,0,,,"FW,MF"
1,John van 't Schip,1993-1994,29,NED,Genoa,Serie A,21,1542,17.1,18,3,0,1,,,1,0,,,"FW,MF"
1,John van 't Schip,1994-1995,30,NED,Genoa,Serie A,33,2245,24.9,24,9,0,5,,,5,0,,,"FW,MF"
2,Mika Aaltonen,1988-1989,22,FIN,Bologna,Serie A,3,45,0.5,0,3,18,0,,,0,0,,,MF
3,Ismael Aaneba,2017-2018,18,FRA,Strasbourg,Ligue 1,0,0,,0,0,2,,,,,,,,DF
3,Ismael Aaneba,2018-2019,19,FRA,Strasbourg,Ligue 1,3,204,2.3,3,0,7,0,0,0,0,0,0,0,DF
3,Ismael Aaneba,2019-2020,20,FRA,Strasbourg,Ligue 1,0,0,,0,0,8,,,,,,,,DF
3,Ismael Aaneba,2020-2021,21,FRA,Strasbourg,Ligue 1,2,11,0.1,0,2,18,0,0,0,0,0,0,0,DF
4,Patrick van Aanholt,2009-2010,18,NED,Chelsea,Premier League,2,35,0.4,0,2,,0,0,0,0,0,0,0,DF
4,Patrick van Aanholt,2011-2012,20,NED,Wigan Athletic,Premier League,3,270,3.0,3,0,,0,0,0,0,0,0,0,DF
4,Patrick van Aanholt,2014-2015,23,NED,Sunderland,Premier League,28,2307,25.6,26,2,0,0,5,5,0,0,0,0,DF
4,Patrick van Aanholt,2015-2016,24,NED,Sunderland,Premier League,33,2970,33.0,33,0,4,4,3,7,4,0,0,0,DF
4,Patrick van Aanholt,2017-2018,26,NED,Crystal Palace,Premier League,28,2184,24.3,25,3,8,5,1,6,5,0,0,0,DF
4,Patrick van Aanholt,2018-2019,27,NED,Crystal Palace,Premier League,36,3195,35.5,36,0,2,3,2,5,3,0,0,0,DF
4,Patrick van Aanholt,2019-2020,28,NED,Crystal Palace,Premier League,29,2507,27.9,29,0,0,3,2,5,2,1,1,0,DF
4,Patrick van Aanholt,2020-2021,29,NED,Crystal Palace,Premier League,22,1777,19.7,20,2,11,0,1,1,0,0,0,0,DF
5,Max Aarons,2019-2020,19,ENG,Norwich City,Premier League,36,3240,36.0,36,0,0,0,1,1,0,0,0,0,DF
5,Max Aarons,2021-2022,21,ENG,Norwich City,Premier League,34,2881,32.0,32,2,2,0,2,2,0,0,0,0,DF
