259,Laurent Agouazi,ALG
260,Lucien Agoume,FRA
261,Alessio Agrifogli,ITA
262,Donald Agu,NGA
263,Felix Agu,GER
264,Festus Agu,NGA
265,Álvaro Aguado,ESP
266,Pedro Aguado,
267,Tarsicio Aguado,ESP
268,Xavier Aguado,ESP
269,Rui Águas,POR
270,Kevin Agudelo,COL
271,Yannick Aguemon,BEN
272,Nayef Aguerd,MAR
273,Juan Agüero,ESP
274,Sergio Agüero,ARG
275,Albert Aguilá,ESP
276,Abel Aguilar,COL
277,Alberto Aguilar,ESP
278,Edu Aguilar,ESP
279,Lalo Aguilar,ESP
280,Ruben Aguilar,FRA
281,Brandon Aguilera,CRC
282,Carlos Aguilera,ESP
283,Carlos Aguilera,URU
284,Juan Aguilera,ESP
285,Álvaro Aguirre,ESP
286,Marcos Aguirre,ARG
287,Rodrigo Aguirre,URU
288,Wilmer Aguirre,PER
289,Matías Aguirregaray,URU
290,Mikel Aguirregomezkorta Larrea,ESP
291,Agus,ESP
292,Agust,
293,Kemy Agustien,CUW
294,Sergio Aguza,ESP
295,Dan Agyei,ENG
296,Patrick Agyemang,GHA
297,Emmanuel Agyemang-Badu,GHA
298,Ali Ahamada,COM
299,Hassan Ahamada,FRA
300,Naouirou Ahamada,FRA
301,Abdelaziz Ahanfouf,MAR
302,Honest Ahanor,ITA
303,Augustine Ahinful,GHA
304,Markus von Ahlen,GER
305,Sören Ahlers,GER
306,Markus Ahlf,GER
307,Matteo Ahlinvi,BEN
308,Karim El Ahmadi,MAR
309,Amar Ahmed,SWE
310,Aymeric Ahmed,COM
311,Said Ahmed Said,ITA
312,Anel Ahmedhodžić,BIH
313,Jean-Eudes Aholou,CIV
314,Oscar Ahumada,ARG
315,Ramon Aiana,ITA
316,Ivan Aiardi,ITA
317,Antonis Aidonis,GER
318,Joseph Aidoo,GHA
319,Lawrence Aidoo,GHA
320,Sauveur Aiello,FRA
321,Rainer Aigner,GER
322,Stefan Aigner,GER
323,Ayman Aiki,FRA
324,Ailton,BRA
325,Pablo Aimar,ARG
326,Ola Aina,NGA
327,Gareth Ainsworth,ENG
328,Simone Airoldi,
329,Sam Aiston,ENG
330,Youssef Aït Bennasser,MAR
331,Nordine Aït Yahia,FRA
332,Rachid Aït-Atmane,ALG
333,Karim Aït-Fana,MAR
334,Rayan Aït-Nouri,ALG
335,Emanuel Aiwum,AUT
336,Yakubu Aiyegbeni,NGA
337,Tosin Aiyegun,BEN
338,Jorge Aizkorreta,ESP
339,José Aizpurúa,ESP
340,Raúl Otxoa Sáinz de Aja,ESP
341,Christophe Ajas,FRA
342,Junior Ajayi,CIV
343,Semi Ajayi,NGA
344,Kristoffer Ajer,NOR
345,Albian Ajeti,SUI
346,Arlind Ajeti,ALB
347,Akande Ajide,NGA
348,Ludovic Ajorque,FRA
349,Jonathan Akaegbobi,GER
350,Kanga Akalé,CIV
351,Manuel Akanji,SUI
352,Carlos Akapo,EQG
353,Ümit Akdag,ROU
354,Marley Aké,FRA
355,Nathan Aké,NED
356,Ager Aketxe,ESP
357,Isaac Aketxe,ESP
358,Mehmet Akgün,TUR
359,Ilias Akhomach,MAR
360,Sergio Akieme,ESP
361,Ade Akinbiyi,NGA
362,Ebenezer Akinsanmiro,NGA
363,Babatunde Akinsola,NGA
364,Bülent Akın,TUR
365,Salim Akkal,FRA
366,Atakan Akkaynak,GER
367,Maghnes Akliouche,FRA
368,Chadrac Akolo,COD
369,Charles Akonnor,GHA
370,Paul Akouokou,CIV
371,Jean-Louis Akpa Akpro,CIV
372,Clément Akpa,CIV
373,Jean-Daniel Akpa-Akpro,CIV
374,Joseph Akpala,NGA
375,David Akpan Ankeye,NGA
376,Hope Akpan,NGA
377,Jonathan Akpoborie,NGA
378,Kevin Akpoguma,NGA
379,Chuba Akpom,ENG
380,Bruno Akrapović,BIH
381,Nassim Akrour,ALG
382,Emmanuel Akwuegbu,NGA
383,Fatih Akyel,TUR
384,David Alaba,AUT
385,Iñaki Álaba,ESP
386,Sofiane Alakouch,MAR
387,Juanma Alamillos,ESP
388,Javi Álamo,ESP
389,Jony Álamo,ESP
390,Ángel Alarcón,ESP
391,Tomás Alarcón,CHI
392,Lucas Alario,ARG
393,Amadou Alassane,FRA
394,Fabrizio Alastra,ITA
395,David Alba,ESP
396,Jordi Alba,ESP
397,Unai Alba,ESP
398,Edu Albácar,ESP
399,Romà Albarrán,
400,Erhan Albayrak,TUR
401,Mads Albæk,DEN
402,David Albelda,ESP
403,Raúl Albentosa,ESP
404,Giuseppe Alberga,ITA
405,Gal Alberman,ISR
406,Andreas Albers,DEN
407,Josué Albert,GUF
408,Philippe Albert,BEL
409,Michelangelo Albertazzi,ITA
410,Andrea Alberti,ITA
411,Demetrio Albertini,ITA
412,Alberto,ESP
413,Alberto,ESP
414,Carlos Alberto,BRA
415,Carlos Alberto Jordão,
416,Juan Alberto,
417,Carlos Alberto Juárez,ECU
418,Luis Alberto,ESP
419,Luiz Alberto,BRA
420,Julio Alberto Moreno,ESP
421,Joaquim Alberto Silva,ANG
422,Fabián Alberto Vázquez,ARG
423,Jörg Albertz,GER
424,Albert Albesa,ESP
425,Massimo Albiero,ITA
426,Marcello Albino,ITA
427,Juan Carlos Justes Albiol,ESP
428,Miguel Albiol,ESP
429,Raúl Albiol,ESP
430,Ricardo Albis,ARG
431,Alberto Albístegui,ESP
432,Unai Albizua,ESP
433,Andrea Alboni,
434,Miiko Albornoz,CHI
435,Jörg Albracht,GER
436,Julian Albrecht,GER
437,Philip Albrecht,GER
438,Martin Albrechtsen,DEN
439,Marc Albrighton,ENG
440,Thorsten Albustin,GER
441,Tim Albutat,GER
442,Paco Alcácer,ESP
443,Pedro Alcalá,ESP
444,Tati Alcalde,ESP
445,Pedro Alcañiz,ESP
446,Carlos Alcántara,ESP
447,Thiago Alcántara,ESP
448,Antolín Alcaraz,PAR
449,Carlos Alcaraz,ARG
450,Rubén Alcaraz,ESP
451,Alcázar,ESP
452,Alcázar,ESP
453,Guillermo Alcázar Ocaña,ESP
454,David Alcibiade,FRA
455,Alcides,BRA
456,Óscar Alcides Mena,ARG
457,Zé Alcino,BRA
458,Pablo Alcolea,ESP
459,Aldair,BRA
460,Ignacio Aldalur,ESP
461,Adolfo Aldana,ESP
462,Gabriele Aldegani,ITA
463,Aitor Aldeondo,ESP
464,Christian Alder,GER
465,Omar Alderete,PAR
466,Toby Alderweireld,BEL
467,Steve Aldo One,CMR
468,John Aldridge,IRL
469,Ryan Alebiosu,ENG
470,Haitam Aleesami,NOR
471,Álex Alegría,ESP
472,Alexis Alegue,FRA
473,Sergei Aleinikov,BLR
474,Alejandro,
475,Alberto Alejandro,
476,Iván Alejo,ESP
477,Danijel Aleksić,SRB
478,Rati Aleksidze,GEO
479,Nauzet Alemán,ESP
480,Pedro Alemañ,ESP
481,Alemão,BRA
482,Doğan Alemdar,TUR
483,Carles Aleñá,ESP
484,Diego Alende,ESP
485,Dmitri Alenichev,RUS
486,Ajibola Alese,ENG
487,Romain Alessandrini,FRA
488,Angelo Alessio,ITA
489,Filippo Alessio,ITA
490,Alex,
491,Álex,ESP
492,Alex,BRA
493,Alex,ESP
494,Álex,
495,Alex,POR
496,Kyle Alex John,ENG
497,Rúnar Alex Rúnarsson,ISL
498,Adriano Alex Taribello,ITA
499,Alexander,ARG
500,Graham Alexander,SCO
501,Ben Alexander Voll,GER
502,Trent Alexander-Arnold,ENG
503,Niclas Alexandersson,SWE
504,Edgar Alexandre,FRA
505,Marius Alexe,ROU
506,Alexis,ESP
507,Alexis,ESP
508,Alejandro Alfaro,ESP
509,Alejandro Alfaro,ESP
510,Emiliano Alfaro,URU
511,Manuel Alfaro,ESP
512,Carlos Alfaro Martínez,
513,Carlos Alfaro Moreno,ARG
514,Pablo Alfaro,ESP
515,Salvatore Alfieri,ITA
516,Alfon,ESP
517,Alfonso,MOZ
518,Christian Alfonso,ESP
519,Enrico Alfonso,ITA
520,Alfredo,ESP
521,Raúl Alfredo Cascini,ARG
522,Julio Algar,ESP
523,Jimmy Algerino,FRA
524,Ángel Algobia,ESP
525,Imanol Alguacil,ESP
526,Chaker Alhadhur,COM
527,Abass Alhassan,GHA
528,Masahudu Alhassan,GHA
529,Aboubacar Ali,FRA
530,Mohamed Ali Cho,FRA
531,Abdallah Ali Mohamed,COM
532,Marco Alia,ALB
533,Jérémie Aliadière,FRA
534,Rachid Aliaoui,FRA
535,Denis Alibec,ROU
536,Roberto Aliboni,ITA
537,Bruno Alicarte,FRA
538,Hervé Alicarte,FRA
539,Luca Alidori,
540,Faride Alidou,GER
541,Ezgjan Alioski,MKD
542,Jamal Alioui,MAR
543,Nabil Alioui,FRA
544,Rachid Alioui,MAR
545,Alisson,BRA
546,Felipe Aliste Lopes,BRA
547,Mohammed Aliyu,NGA
548,Hasney Aljofree,ENG
549,Bittor Alkiza,ESP
550,Rafael Alkorta,ESP
551,Hassane Alla,MAR
552,Saturnin Allagbé,BEN
553,Sami Allagui,TUN
554,Bobby Allain,FRA
555,Allan,BRA
556,Allan,BRA
557,Derek Allan,SCO
558,Thomas Allan,ENG
559,Marcus Allbäck,SWE
560,Zana Allée,FRA
561,Riccardo Allegretti,ITA
562,Massimiliano Allegri,ITA
563,Samuel Allegro,FRA
564,Bradley Allen,ENG
565,Chris Allen,ENG
566,Clive Allen,ENG
567,Graham Allen,ENG
568,Joe Allen,WAL
569,Malcolm Allen,WAL
570,Martin Allen,ENG
571,Paul Allen,ENG
572,Rory Allen,ENG
573,Tadeo Allende,ARG
574,Valentín Aller Garcia,ESP
575,Jim Allevinah,GAB
576,Karl Allgöwer,GER
577,Ralf Allgöwer,GER
578,Dele Alli,ENG
579,Éric Allibert,FRA
580,Sergio Allievi,GER
581,Téo Allix,FRA
582,Nicola Allocca,
583,Pasquale Allocca,ITA
584,Klaus Allofs,GER
585,Thomas Allofs,GER
586,Joe Allon,ENG
587,Bernard Allou,FRA
588,Ryan Allsop,ENG
589,Danny Allsopp,AUS
590,Eduardo Almansa,
591,Domingos André Ribeiro Almeida,POR
592,Henrique Almeida,BRA
593,Hugo Almeida,POR
594,Marco Almeida,POR
595,Iker Almena,ESP
596,Robert Almer,AUT
597,Matías Almeyda,ARG
598,Miguel Almirón,PAR
599,Sergio Almirón,ARG
600,Nando Almodóvar,ESP
601,Pontus Almqvist,SWE
602,Gernot Alms,GDR
603,Manuel Almunia,ESP
604,Nicolas Alnoudji,CMR
605,Ben Alnwick,ENG
606,Jak Alnwick,ENG
607,Paul Alo'o,CMR
608,Baptiste Aloé,FRA
609,Ilario Aloe,ITA
610,Simone Aloe,
611,Antonio Aloisi,ITA
612,John Aloisi,AUS
613,Ross Aloisi,AUS
614,Aloísio,BRA
615,Cyril Aloisio,FRA
