Tony Adams,1995-1996,28,ENG,Arsenal,Premier League,21,1853,20.6,21,0,,1,1,2,1,0,0,0,DF
Tony Adams,1996-1997,29,ENG,Arsenal,Premier League,28,2254,25.0,27,1,,3,1,4,3,0,0,0,DF
Tony Adams,1997-1998,30,ENG,Arsenal,Premier League,26,2340,26.0,26,0,,3,1,4,3,0,0,0,DF
Tony Adams,1998-1999,31,ENG,Arsenal,Premier League,26,2340,26.0,26,0,,1,0,1,1,0,0,0,DF
Tony Adams,1999-2000,32,ENG,Arsenal,Premier League,21,1890,21.0,21,0,,0,1,1,0,0,0,0,DF
Tony Adams,2000-2001,33,ENG,Arsenal,Premier League,26,2340,26.0,26,0,,1,2,3,1,0,0,0,DF
Tony Adams,2001-2002,34,ENG,Arsenal,Premier League,10,887,9.9,10,0,,0,0,0,0,0,0,0,DF
Tyler Adams,2022-2023,23,USA,Leeds United,Premier League,24,2156,24.0,24,0,0,0,0,0,0,0,0,0,MF
Tyler Adams,2023-2024,24,USA,Bournemouth,Premier League,3,121,1.3,1,2,2,0,0,0,0,0,0,0,MF
Tosin Adarabioyo,2023-2024,25,ENG,Fulham,Premier League,20,1617,18.0,18,2,2,2,0,2,2,0,0,0,DF
Tosin Adarabioyo,2022-2023,24,ENG,Fulham,Premier League,25,2085,23.2,23,2,13,1,0,1,1,0,0,0,DF
Tosin Adarabioyo,2020-2021,22,ENG,Fulham,Premier League,33,2953,32.8,33,0,1,0,0,0,0,0,0,0,DF
Tosin Adarabioyo,2017-2018,19,ENG,Manchester City,Premier League,0,,,0,0,7,,,,,,,,DF
Tosin Adarabioyo,2016-2017,18,ENG,Manchester City,Premier League,0,,,0,0,1,,,,,,,,DF
Tayo Adaramola,2021-2022,17,IRL,Crystal Palace,Premier League,0,,,0,0,1,,,,,,,,DF
Tayo Adaramola,2022-2023,18,IRL,Crystal Palace,Premier League,0,,,0,0,2,,,,,,,,DF
Tayo Adaramola,2023-2024,19,IRL,Crystal Palace,Premier League,0,,,0,0,2,,,,,,,,DF
Miles Addison,2007-2008,18,ENG,Derby County,Premier League,1,90,1.0,1,0,,0,0,0,0,0,0,0,"DF,MF"
Elijah Adebayo,2023-2024,25,ENG,Luton Town,Premier League,27,1419,15.8,16,11,0,10,0,10,10,0,0,0,FW
